stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,69281.70,25849.58,23289.58,2560.00
stage-1,70290.28,27723.28,26443.28,1280.00
stage-2,70915.20,23664.99,21104.99,2560.00
stage-3,69917.58,23762.80,21202.80,2560.00
stage-4,70739.77,27580.56,25020.56,2560.00
stage-5,70591.74,20436.78,19024.28,1412.50
