search_time (s),config time (ms)
0,14327.477175578126
1,10404.353591171328
2,8805.275453335344
3,7382.107526939673
4,6725.000050085212
5,6513.869732210342
7,6511.952101825835
8,6392.979695574168
9,6392.979695574168
12,6513.693557624037
13,6467.65903369406
14,6513.869732210342
18,6513.741548089503
19,6513.821741744876
21,6512.04556658095
23,6269.266541177496
25,6266.656072792989
28,6265.658903438142
30,6265.658903438142
32,6121.1843115318225
34,6121.1843115318225
36,6420.192237881521
37,6465.599877361361
38,6511.64774311869
39,6530.966310649181
42,6464.573129850706
46,6126.256320024279
48,6133.971349583973
50,6462.685077622007
52,6462.813261742846
54,6483.943712605136
55,6527.071454868408
56,6561.969583838681
59,6467.6448841880665
60,6168.9725504899925
62,6168.9725504899925
65,6166.233897984646
68,6472.7004510501865
69,6562.982992306415
71,6562.982992306414
73,6625.132742733924
74,6562.982974624512
75,6562.982974624512
76,6161.875328715689
78,6161.875328715689
79,6631.027376645521
80,6633.055192401734
83,6232.009081124854
85,6232.009081124854
86,6629.200575539614
88,6632.798824160056
92,6230.1849154954625
94,6525.153797131603
96,6472.801542884451
97,6478.742293743016
99,6484.024744772943
100,6482.326093178777
101,6482.326093178777
102,6483.544711057939
103,6527.683602908288
104,6527.555446139747
106,6555.2553542151945
107,6624.311747965382
109,6555.526189323456
111,6628.920040389769
112,6392.710012857435
113,6649.149996516707
115,6516.009011470804
116,6666.346283681555
117,6668.641222756161
118,6668.945554111007
119,6624.29580833648
120,6598.368047302755
121,6681.495189458092
122,6681.76600688445
124,6467.928673035481
125,6671.825732564545
131,6266.399704551311
134,6269.831222408955
135,6445.604129941829
136,6463.629211971545
137,6555.383556017937
138,6626.531740686897
139,6634.6991204735405
142,6419.118345202254
143,6419.118345202254
144,6394.111748784186
145,6555.588907414844
146,6557.657254215195
147,6628.805438884156
149,6601.713101273136
150,6674.111052651717
152,6390.099489768332
153,6388.0412730313965
156,6121.056127410984
158,6121.056127410984
160,6525.025613010765
162,6526.815059274432
165,6394.627643241942
166,6394.627615889644
168,6597.441797302756
