stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,8959.92,25849.58,23289.58,2560.00
stage-1,9085.13,27723.28,26443.28,1280.00
stage-2,9162.71,23664.99,21104.99,2560.00
stage-3,9038.86,23762.80,21202.80,2560.00
stage-4,9140.94,27580.56,25020.56,2560.00
stage-5,9122.56,20436.78,19024.28,1412.50
