search_time (s),config time (ms)
0,86256.19638401223
1,70699.36963010053
2,69612.5532966002
3,69433.93755259794
4,68696.70167003074
5,67559.53582248671
6,65955.3993320665
7,64023.09404464029
8,62688.82524041078
9,49158.191538037
10,44565.416235151424
12,41721.63856631084
14,39659.52813499708
18,38367.76163924542
19,38328.03540914829
34,36640.80865795556
35,36471.1779598926
36,35379.20585697351
38,34020.253248170455
76,34019.81365625814
102,34018.46728042045
109,34016.60197051775
133,34013.444043174255
164,34012.215015501046
215,34012.215015501046
