stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,140970.02,26635.47,24075.47,2560.00
stage-1,140372.78,23484.99,20924.99,2560.00
stage-2,140458.90,24008.77,22728.77,1280.00
stage-3,140415.29,27438.54,26158.54,1280.00
stage-4,139561.72,20289.26,18889.26,1400.00
