search_time (s),config time (ms)
0,374792.791385193
1,369401.6447088868
2,369333.769979412
4,318156.56081194617
7,260646.36019687558
9,203702.7283746516
10,198666.15094488714
11,197196.56956348123
13,152557.85709245576
28,151380.04397840906
30,147614.59195998524
32,145946.78595413343
39,125950.4762659174
56,125434.10446234376
58,117553.88765429544
60,116607.25647990392
74,112650.60457044496
78,108855.35693081837
80,108198.81272082873
82,107304.72492653529
84,106888.63060239953
91,106883.76222567876
212,106883.76222567876
