search_time (s),config time (ms)
0,1514073.9632769611
1,1242221.1766113187
2,514536.37334070605
3,467014.4363294468
6,171774.9119843788
7,167454.36296571247
11,167372.77804130668
15,166872.633718174
16,140459.40603912933
17,138373.07708785374
25,138213.662848185
29,138213.662848185
30,139688.18136629174
31,140477.19072338555
39,138586.3482763856
40,138213.662848185
41,138213.662848185
42,138213.662848185
43,138213.662848185
44,138213.662848185
45,138373.07708785374
46,138373.07708785374
47,138373.07708785374
48,138373.07708785374
49,138373.07708785374
50,138586.3482763856
51,138586.3482763856
52,138586.3482763856
53,138586.3482763856
54,138586.3482763856
55,139078.37806803553
56,139078.37806803553
57,139078.37806803553
58,139078.37806803553
59,139078.37806803553
60,139382.68186809108
61,139382.68186809108
62,139382.68186809108
63,139382.68186809108
64,139382.68186809108
65,139688.18136629174
66,139688.18136629174
67,139688.18136629174
68,139688.18136629174
69,139688.18136629174
70,140459.40603912933
71,140459.40603912933
72,140459.40603912933
73,140459.40603912933
74,140459.40603912933
75,140477.19072338555
76,140477.19072338555
77,140477.19072338555
78,140477.19072338555
79,140477.19072338555
80,152872.947105129
81,152872.947105129
82,152872.947105129
83,152872.947105129
84,152872.947105129
91,140106.47643412952
100,138740.1926560911
101,140185.8208468537
102,138740.1926560911
103,138740.1926560911
104,138740.1926560911
105,138740.1926560911
106,140106.47643412952
107,140106.47643412952
108,140106.47643412952
109,140106.47643412952
110,140185.8208468537
111,140185.8208468537
112,140185.8208468537
113,140185.8208468537
114,140211.45325475978
115,140211.45325475978
116,140211.45325475978
117,140211.45325475978
121,138477.82667275987
122,138477.82667275987
123,138477.82667275987
124,138477.82667275987
125,138477.82667275987
126,140703.31201485367
127,140703.31201485367
128,140703.31201485367
132,140912.36619412946
135,139112.80164475986
136,139112.80164475986
137,139112.80164475986
138,139112.80164475986
139,139112.80164475986
140,140912.36619412946
141,140912.36619412946
142,140912.36619412946
143,150268.6892153853
144,150268.6892153853
145,150268.6892153853
146,166872.633718174
147,166872.633718174
