stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,25033.45,38834.65,38194.65,640.00
stage-1,24265.05,34656.80,33376.80,1280.00
stage-2,24319.90,40460.57,39180.57,1280.00
