stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,159850.33,47295.16,42175.16,5120.00
stage-1,160397.51,47382.00,37142.00,10240.00
stage-2,153491.88,47701.10,37461.10,10240.00
stage-3,155314.02,47860.58,37620.58,10240.00
stage-4,158975.30,47583.00,37343.00,10240.00
stage-5,158252.14,47490.00,37250.00,10240.00
stage-6,158569.93,47717.20,37477.20,10240.00
