stage-index,time,memory(total),memory(normal),memory(reserved)
stage-0,150840.09,47633.12,42513.12,5120.00
stage-1,151475.78,47568.22,42448.22,5120.00
stage-2,154572.83,46514.98,41394.98,5120.00
stage-3,145953.71,46626.00,36386.00,10240.00
stage-4,143351.80,45909.20,35669.20,10240.00
