search_time (s),config time (ms)
0,661071.7199399482
1,638902.1367138637
2,616185.5596368958
5,542230.7473388126
10,525119.0509331214
14,498553.15551788564
28,422258.2787792372
39,323475.4187294723
44,315053.7999736753
73,309687.72884510097
76,306284.78362415207
79,304792.4990617823
91,304754.7775183698
111,303995.8516186337
117,303676.86176817096
124,301396.9033893391
144,268087.1816978884
148,247020.84864329535
150,246843.01794077668
187,244786.03496499773
202,244271.48616479762
204,244256.54704878596
216,244256.54704878596
